,ViewName,ViewID,GoalName,Date,Campaign,Channel group,Source,Medium,Ad content,Value,AdsetV5,ViewName_eq,AdsetV5_eq
29,Leads,96577637,5 - Popular Auto - New Lead Generator,4/19/2022,popular-lending-auto-starting-connection-hyundai-cbo-conversion-ads-starting-connection-hyundai-conversion-ad-all-pr-abr-18-2022-flt1_fee220301es01,(Other),facebook-paid,fb-conversion-ad,v5i202211223v5f_starting-connection,1,Popular - Lending - Auto - Starting Connection + Hyundai - CBO - Conversion Ads - Starting Connection + Hyundai - Conversion Ad - All PR - Abr 18 2022 _ ///FEE220301ES01\\\,Leads,Popular - Lending - Auto - Starting Connection + Hyundai - CBO - Conversion Ads - Starting Connection + Hyundai - Conversion Ad - All PR - Abr 18 2022 _ ///FEE220301ES01\\\
30,Leads,96577637,5 - Popular Auto - New Lead Generator,4/19/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,PrÃŒÂ©stamo de Auto,1,Assisted,Leads,Assisted
31,Leads 2,116580388,10 - Form Downloads,1/1/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Impulsa tu negocio,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
32,Leads,96577637,16 - Risk Service Lead,4/20/2022,popular - services - tarjetas - mastercard staycation - performance max - all pr - abr 11 2022 _ ///fee220316cr01\\\,Paid Search,google,cpc,(not set),1,Assisted,Leads,Assisted
33,Leads,96577637,5 - Popular Auto - New Lead Generator,4/20/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,PrÃŒÂ©stamo de Auto,1,Assisted,Leads,Assisted
34,Leads,96577637,5 - Popular Auto - New Lead Generator,4/22/2022,2021 - auto - starting connection - display - discovery,Paid Search,google,cpc,(not set),1,Other,Leads,Other
35,Leads,96577637,5 - Popular Auto - New Lead Generator,4/26/2022,2021 - auto - starting connection - display - discovery,Paid Search,google,cpc,(not set),1,Other,Leads,Other
36,Leads,96577637,5 - Popular Auto - New Lead Generator,4/27/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,PrÃŒÂ©stamo de Auto,2,Assisted,Leads,Assisted
37,Leads,96577637,16 - Risk Service Lead,4/30/2022,popular - lending - tarjetas - aadvantage 2022 - performance max - pr 30 inmarket - abr 13 2022 _ ///fee220215cr01\\\,Paid Search,google,cpc,(not set),1,Assisted,Leads,Assisted
38,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/2/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),2,Other,Leads,Other
39,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/2/2022,2020 - hipotecas - display - discovery,Paid Search,google,cpc,(not set),1,Other,Leads,Other
40,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/2/2022,popular - lending - tarjetas - aadvantage 2022 - performance max - pr 30 inmarket - abr 13 2022 _ ///fee220215cr01\\\,Paid Search,google,cpc,(not set),1,Assisted,Leads,Assisted
41,Leads 2,116580388,10 - Form Downloads,1/2/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,(not set),1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
42,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/3/2022,2020 - hipotecas - display - discovery,Paid Search,google,cpc,(not set),1,Other,Leads,Other
43,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/3/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),2,Other,Leads,Other
44,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/3/2022,popular - services - tarjetas - mastercard staycation - performance max - all pr - abr 11 2022 _ ///fee220316cr01\\\,Paid Search,google,cpc,(not set),1,Assisted,Leads,Assisted
45,Leads 2,116580388,10 - Form Downloads,1/5/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,(not set),1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
46,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/4/2022,popular - services - tarjetas - mastercard staycation - performance max - all pr - abr 11 2022 _ ///fee220316cr01\\\,Paid Search,google,cpc,(not set),1,Assisted,Leads,Assisted
47,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/4/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),1,Other,Leads,Other
48,Leads 2,116580388,10 - Form Downloads,1/7/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Potencial para tu negocio,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
49,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/5/2022,2018 - hipotecas - search - branded search,Paid Search,google,cpc,(not set),1,Other,Leads,Other
50,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/5/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),5,Other,Leads,Other
51,Leads 2,116580388,10 - Form Downloads,1/8/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Impulsa tu negocio,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
52,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/5/2022,popular - services - tarjetas - mastercard staycation - performance max - all pr - abr 11 2022 _ ///fee220316cr01\\\,Paid Search,google,cpc,(not set),1,Assisted,Leads,Assisted
53,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/6/2022,2018 - hipotecas - search - branded search,Paid Search,google,cpc,(not set),1,Other,Leads,Other
54,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/6/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),3,Other,Leads,Other
55,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/7/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),1,Other,Leads,Other
56,Leads 2,116580388,10 - Form Downloads,1/10/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Impulsa tu negocio,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
57,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/7/2022,popular - services - tarjetas - mastercard staycation - performance max - all pr - abr 11 2022 _ ///fee220316cr01\\\,Paid Search,google,cpc,(not set),3,Assisted,Leads,Assisted
58,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/9/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),5,Other,Leads,Other
59,Leads 2,116580388,10 - Form Downloads,1/11/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,(not set),2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
60,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/9/2022,2020 - hipotecas - display - discovery,Paid Search,google,cpc,(not set),1,Other,Leads,Other
61,Leads 2,116580388,10 - Form Downloads,1/11/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Impulsa tu negocio,2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
62,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/9/2022,popular-lending-tarjetas-aadvantage-uso-2022-page-views-carrusel-fotos-all-pr-n-custom-abr-21-2022-flt1_fee220215cr02,(Other),facebook-paid,fb-click-page-view,v5i202211235v5f_aadvantage-uso,1,Assisted,Leads,Assisted
63,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/10/2022,popular-services-mortgage-adquisicion-mortgage-2022-website-conversion-leads-all-pr-18-sc-all-placements-gif-mortgage-may-09-2022-flt1_fee220331es03,(Other),facebook-paid,fb-conversion-ad,v5i202211363v5f_mortgage2022,1,Popular - Services - Mortgage - Adquisicion Mortgage 2022 - Website Conversion Leads - All PR 18+ SC All Placements - GIF Mortgage - May 09 2022 _ ///FEE220331ES03\\\,Leads,Popular - Services - Mortgage - Adquisicion Mortgage 2022 - Website Conversion Leads - All PR 18+ SC All Placements - GIF Mortgage - May 09 2022 _ ///FEE220331ES03\\\
64,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/10/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),2,Other,Leads,Other
65,Leads 2,116580388,10 - Form Downloads,1/12/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,StartUp con Popular,2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
66,Leads,96577637,16 - Risk Service Lead,5/10/2022,popular - services - tarjetas - mastercard staycation - performance max - all pr - abr 11 2022 _ ///fee220316cr01\\\,Paid Search,google,cpc,(not set),1,Assisted,Leads,Assisted
67,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/10/2022,2018 - hipotecas - search - branded search,Paid Search,google,cpc,(not set),1,Other,Leads,Other
68,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/11/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),2,Other,Leads,Other
69,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/11/2022,popular - lending - tarjetas - aadvantage 2022 - performance max - pr 30 inmarket - abr 13 2022 _ ///fee220215cr01\\\,Paid Search,google,cpc,(not set),1,Assisted,Leads,Assisted
70,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/12/2022,popular-services-mortgage-adquisicion-mortgage-2022-website-conversion-leads-all-pr-18-sc-post-gif-mortgage-may-09-2022-flt1_fee220331es03,(Other),facebook-paid,fb-conversion-ad,v5i202211362v5f_mortgage2022,3,Popular - Services - Mortgage - Adquisicion Mortgage 2022 - Website Conversion Leads - All PR 18+ SC Feed + Marketplace - GIF Mortgage - May 09 2022 _ ///FEE220331ES03\\\,Leads,Popular - Services - Mortgage - Adquisicion Mortgage 2022 - Website Conversion Leads - All PR 18+ SC Feed + Marketplace - GIF Mortgage - May 09 2022 _ ///FEE220331ES03\\\
71,Applications,95557079,4 - Jetblue Mastercard,2/2/2022,popular-lending-tarjetas-jetblue-2022-conversions-gif-pareja-y-esquiador-all-pr-feb-1-2022-f1-flt1_fee211230cr01,(Other),facebook-paid,fb-conversion-ad,v5i202210826v5f_jetblue,4,Popular - Lending - Tarjetas - JetBlue 2022 - Conversions - Gif - Pareja y Esquiador - All PR - Feb 1 2022 - F1 _ ///FEE211230CR01\\\,Applications,Popular - Lending - Tarjetas - JetBlue 2022 - Conversions - Gif - Pareja y Esquiador - All PR - Feb 1 2022 - F1 _ ///FEE211230CR01\\\
72,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/12/2022,2020 - hipotecas - display - discovery,Paid Search,google,cpc,(not set),3,Other,Leads,Other
73,Leads,96577637,8 - Funnel Hipotecas Refinanciar,5/12/2022,2018 - hipotecas - search - hipoteca search,Paid Search,google,cpc,(not set),2,Other,Leads,Other
74,Applications,95557079,7 - Jetblue Mastercard Eleva,2/2/2022,popular-lending-tarjetas-jetblue-2022-conversions-gif-maletas-eleva-all-pr-feb-1-2022-f2-flt2_fee211230cr01,(Other),facebook-paid,fb-conversion-ad,v5i202210824v5f_jetblue-eleva,3,Popular - Lending - Tarjetas - JetBlue 2022 - Conversions - Gif - Maletas Eleva - All PR - Feb 1 2022 - F2 _ ///FEE211230CR01\\\,Applications,Popular - Lending - Tarjetas - JetBlue 2022 - Conversions - Gif - Maletas Eleva - All PR - Feb 1 2022 - F2 _ ///FEE211230CR01\\\
75,Leads 2,116580388,10 - Form Downloads,1/12/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,StartUp de Popular,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
76,Applications,95557079,7 - Jetblue Mastercard Eleva,2/2/2022,popular-lending-tarjetas-jetblue-2022-brand-awareness-gif-eleva-tarjeta-all-pr-feb-1-2022-flt2_fee211230cr01,(Other),facebook-paid,fb-b-awareness,v5i202210820v5f_jetblue-eleva,1,Popular - Lending - Tarjetas - JetBlue 2022 - Brand Awareness - Gif - Eleva Tarjeta - All PR - Feb 1 2022 - F2 _ ///FEE211230CR01\\\,Applications,Popular - Lending - Tarjetas - JetBlue 2022 - Brand Awareness - Gif - Eleva Tarjeta - All PR - Feb 1 2022 - F2 _ ///FEE211230CR01\\\
77,Applications,95557079,4 - Jetblue Mastercard,2/3/2022,popular-lending-tarjetas-jetblue-2022-conversions-gif-pareja-y-esquiador-all-pr-feb-1-2022-f1-flt1_fee211230cr01,(Other),facebook-paid,fb-conversion-ad,v5i202210826v5f_jetblue,5,Popular - Lending - Tarjetas - JetBlue 2022 - Conversions - Gif - Pareja y Esquiador - All PR - Feb 1 2022 - F1 _ ///FEE211230CR01\\\,Applications,Popular - Lending - Tarjetas - JetBlue 2022 - Conversions - Gif - Pareja y Esquiador - All PR - Feb 1 2022 - F1 _ ///FEE211230CR01\\\
78,Applications,95557079,4 - Jetblue Mastercard,2/3/2022,popular-lending-tarjetas-jetblue-2022-brand-awareness-gif-esquiador-all-pr-feb-1-2022-f1-flt1_fee211230cr01,(Other),facebook-paid,fb-b-awareness,v5i202210821v5f_jetblue-esquiador,2,Popular - Lending - Tarjetas - JetBlue 2022 - Brand Awareness - Gif - Esquiador - All PR - Feb 1 2022 - F1 _ ///FEE211230CR01\\\,Applications,Popular - Lending - Tarjetas - JetBlue 2022 - Brand Awareness - Gif - Esquiador - All PR - Feb 1 2022 - F1 _ ///FEE211230CR01\\\
79,Leads 2,116580388,10 - Form Downloads,1/12/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,(not set),2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
80,Leads 2,116580388,10 - Form Downloads,1/13/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,(not set),1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
81,Leads 2,116580388,10 - Form Downloads,1/13/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Impulsa tu negocio,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
82,Leads 2,116580388,10 - Form Downloads,1/14/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,StartUp con Popular,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
83,Leads 2,116580388,10 - Form Downloads,1/14/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Impulsa tu negocio,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
84,Leads 2,116580388,10 - Form Downloads,1/14/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Potencial para tu negocio,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
85,Leads 2,116580388,10 - Form Downloads,1/15/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,(not set),2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
86,Leads 2,116580388,10 - Form Downloads,1/16/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,(not set),1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
87,Leads 2,116580388,10 - Form Downloads,1/17/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Impulsa tu negocio,2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
88,Leads 2,116580388,10 - Form Downloads,1/17/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Potencial para tu negocio,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
89,Leads 2,116580388,10 - Form Downloads,1/18/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,(not set),1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
90,Leads 2,116580388,10 - Form Downloads,1/18/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Impulsa tu negocio,1,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
91,Leads 2,116580388,10 - Form Downloads,1/19/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,Impulsa tu negocio,3,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
92,Leads 2,116580388,10 - Form Downloads,1/19/2022,popular - lending - comercial - startup 2022 - search - ene 1 2022 _ ///fee211117cr01\\\,Paid Search,google,cpc,(not set),3,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\,Leads 2,Popular - Lending - Comercial - StartUp 2022 - Search - Ene 1 2022 _ ///FEE211117CR01\\\
